fold,skipped,test_start,test_end,n_test_faults,threshold,detection_f1,attribution_f1,detection_f1_ci_low,detection_f1_ci_high,attribution_f1_ci_low,attribution_f1_ci_high
0,False,2026-05-19 01:50:00+00:00,2026-05-28 12:06:00+00:00,33,0.9000000000000004,0.71939736346516,0.31368594036344943,0.6603256596299503,0.7689796577758728,0.20960176275841066,0.3881413419360197
1,False,2026-06-12 03:52:45+00:00,2026-06-14 14:04:30+00:00,32,0.9000000000000004,0.7859649122807018,0.10043508726125029,0.7276633409236177,0.8242201215674584,0.0,0.15738030742982595
2,False,2026-06-17 01:16:15+00:00,2026-06-19 11:28:00+00:00,33,0.5,0.7452402538531279,0.40020519099116036,0.6633503830734643,0.7857561343515115,0.17223470123669574,0.45167960516683003
3,False,2026-06-21 22:39:45+00:00,2026-06-24 11:36:30+00:00,21,0.96,0.7258064516129032,0.4248473372331258,0.5412577850776632,0.8319230173207294,0.2884081399277962,0.48509729408927227
4,False,2026-07-11 02:53:15+00:00,2026-07-13 14:55:00+00:00,31,0.97,0.7411444141689373,0.29702667024718604,0.6646478904833014,0.7955281993781379,0.12924893540090632,0.3367290225704246
